INPUT:first_text	INPUT:second_text	GOLDEN:result	HINT:text
пиздеж! температуры горения хватит чтобы её расплавить к херам..	температура горения хватит чтобы её расплавить к чертям..	same	Основная мысль сохранена, изменена только тональность
а ты чмо там был.ты вообще служил.гандон	а ты там был.ты вообще служил..	same	Основная мысль сохранена, изменена только тональность
какую песню испоганили бендерлоги...	какую песню сочинили бендерлоги..	different	Смысл первого предложения искажён
Уже без меня начали? А эта блядь молчит?	Уже без меня начали? А эта вообще молчит?	same	Общий смысл сохранён
Ну тогда я пошла несолоно хлебавши?	Итак, пошел ли я тогда за буханкой хлеба?	different	Разный смысл
Интересно, Какой идиот изобрел этакий бред?	Интересно, кто изобрел это?	same	Основная мысль сохранена
ГРАБИТЕЛЬ ЕБАНЫЙ((((( ты в чечне СУКА с пацанов крестики снимал.....мудило	грабитель, ты в чечне с пацанов крестики снимал	same	Смысл сохранён
Мухлюешь, курвин потрох! Дама где?	Ого, какой потрох! Дама где?	different	Во втором предложении смысл искажён
Смотри, потаскуха, любуйся, каков теперь твой Могучий!	Посмотрите, поссоритесь, восхищайтесь тем, как сейчас выглядит ваш Милый!	different	Разные предложения
значит ты такой же засранец ка штукатур твой	значит ты такой же как штукатур твой	same	Основной смысл сохранён
